,name,price,category,image_link
14,"'Mystic Owl Block' Hand Carved Spice Box With Spoon In Sheesham Wood (7 Compartments, 80 ML)","3,275",spice-boxes,//cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-005-886_A_400x.jpg?v=1604379447
15,"'The Dancing Peacock' Hand Carved Spice Box With Spoon in Sheesham Wood (7 Partitions, 120 ml each)","3,365",spice-boxes,//cdn.shopify.com/s/files/1/0030/9759/1872/products/91_400x.png?v=1619167818
16,Teak Wood Bird Of Aromas Spice Box (9 Compartments),"1,623",spice-boxes,//cdn.shopify.com/s/files/1/0030/9759/1872/products/63_400x.png?v=1610968337
17,Sheesham Wood  Rectangular Spice Box With Hand Carving (3 Compartments),"1,049",spice-boxes,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-079_a_1_400x.jpg?v=1570516443
18,'Blues Of Sky' Studio Pottery Glazed Coffee Mugs In Ceramic (Set Of 2),649,coffee-mugs,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-344_a_400x.jpg?v=1570516224
19,"""Leaf Sips"" Hand-Painted & Handglazed Studio Pottery Coffee & Tea Mugs In Ceramic (Set of 2)",645,coffee-mugs,//cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-005-620_A_400x.jpg?v=1570442284
20,'Cocoa Rims' Studio Pottery Tea & Coffee Mugs In Ceramic (Set Of 2),649,coffee-mugs,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-473_a_400x.jpg?v=1570516064
21,'The Hut Jumbo Cuppas' Hand-Painted Mugs In Ceramic (Set Of 2),649,coffee-mugs,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-508_a_400x.jpg?v=1570516014
22,"'Mint Chocolate' Hand Glazed Studio Pottery Tea & Coffee Mugs In Ceramic (Set of 2, 362 ML, Microwave Safe)",675,coffee-mugs,//cdn.shopify.com/s/files/1/0030/9759/1872/products/69_400x.png?v=1610968384
23,"""Leaf Sips"" Hand-Painted & Handglazed Studio Pottery Coffee & Tea Mugs In Ceramic (Set of 2)",699,coffee-mugs,//cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-005-619_A_400x.jpg?v=1570442277
24,"'Caramel Blues' Hand Glazed Studio Pottery Tea & Coffee Mugs In Ceramic (Set of 2, 360 ML, Microwave Safe)",725,coffee-mugs,//cdn.shopify.com/s/files/1/0030/9759/1872/products/67_400x.png?v=1610968368
25,Tea-Coffee & Milk Mugs Dual-Glazed Studio Pottery In Ceramic (Set Of 2),699,coffee-mugs,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-409_a_400x.jpg?v=1570516151
26,Tea-Coffee & Milk Mugs Dual-Glazed Studio Pottery In Ceramic (Set Of 2),649,coffee-mugs,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-405_a_400x.jpg?v=1570516153
